Unique-id,namea_x,OffTask,Avgright,Avgbug,Avghelp,Avgchoice,Avgstring,Avgnumber,Avgpoint,Avgpchange,Avgtime,AvgtimeSDnormed,Avgtimelast3SDnormed,Avgtimelast5SDnormed,Avgnotright,Avghowmanywrong-up,Avghelppct-up,Avgwrongpct-up,Avgtimeperact-up,AvgPrev3Count-up,AvgPrev5Count-up,Avgrecent8help,Avg recent5wrong,Avgmanywrong-up,AvgasymptoteA-up,AvgasymptoteB-up,Row,lesson,namea_y,prod,cell,right,bug,help,choice,string,number,point,pknow-1,Pknow-2,pchange,time,timeSDnormed,timelast3SDnormed,timelast5SDnormed,notright,howmanywrong-up,helppct-up,wrongpct-up,timeperact-up,Prev3Count-up,Prev5Count-up,recent8help,recent5wrong,manywrong-up,asymptoteA-up,asymptoteB-up,Behaviour,Coder
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-1,stuZgy46jl,N,1.0,0.0,0,0,0,0,0,0.0,12.0,0.446098082,0.288201388,0.454262104,0.0,0.0,0,0.0,12.0,0.0,0.0,0,1.0,0.0,0,0,18394,CTA1Z12ZT,stuZgy46jl,Skill108,R4C2,1,0,0,0,0,0,0,0.888286674,0.888286674,0,12,0.570214013,0.401466082,0.029586047,0,0,0,0,12.0,0,0,0,1,0,0,0,ON TASK,awagner
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-1,stuZgy46jl,N,1.0,0.0,0,0,0,0,0,0.0,12.0,0.446098082,0.288201388,0.454262104,0.0,0.0,0,0.0,12.0,0.0,0.0,0,1.0,0.0,0,0,18395,CTA1Z12ZT,stuZgy46jl,Skill96,R5C2,1,0,0,0,0,0,0,0.888286674,0.888286674,0,12,0.321982151,0.174936693,0.87893816,0,0,0,0,12.0,0,0,0,1,0,0,0,ON TASK,awagner
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-12,stuZ77be0l,N,1.0,0.0,0,0,0,0,0,0.0,7.5,-0.260955636,-0.774505753,0.0,0.0,0.0,0,0.0,8.75,0.0,0.0,0,0.0,0.0,0,0,6707,CTA1Z12ZT,stuZ77be0l,Skill136,R1C3,1,0,0,0,0,0,0,0.988464307,0.988464307,0,8,-0.364577939,0.0,0.0,0,0,0,0,10.5,0,0,0,0,0,0,0,ON TASK,awagner
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-12,stuZ77be0l,N,1.0,0.0,0,0,0,0,0,0.0,7.5,-0.260955636,-0.774505753,0.0,0.0,0.0,0,0.0,8.75,0.0,0.0,0,0.0,0.0,0,0,6708,CTA1Z12ZT,stuZ77be0l,Skill128,R2C2,1,0,0,0,0,0,0,0.888286674,0.888286674,0,7,-0.157333333,-1.549011507,0.0,0,0,0,0,7.0,0,0,0,0,0,0,0,ON TASK,awagner
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-13,stuZ5lp7k7,N,1.0,0.0,0,0,0,0,0,0.0,25.33333333,0.301574293,-1.529301457,-0.508076014,0.0,0.0,0,0.0,26.08333333,0.0,0.0,0,1.0,0.0,0,0,3968,CTA1Z12ZRAH,stuZ5lp7k7,Skill128,R2C3,1,0,0,0,0,0,0,0.979706094,0.979706094,0,2,-0.514074074,-1.34274254,0.933031453,0,0,0,0,4.25,0,0,0,1,0,0,0,ON TASK,awagner
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-13,stuZ5lp7k7,N,1.0,0.0,0,0,0,0,0,0.0,25.33333333,0.301574293,-1.529301457,-0.508076014,0.0,0.0,0,0.0,26.08333333,0.0,0.0,0,1.0,0.0,0,0,3969,CTA1Z12ZRAH,stuZ5lp7k7,Skill146,R3C1,1,0,0,0,0,0,0,0.888286674,0.888286674,0,2,-0.577242888,-1.415183961,-0.023199994,0,0,0,0,2.0,0,0,0,1,0,0,0,ON TASK,awagner
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-13,stuZ5lp7k7,N,1.0,0.0,0,0,0,0,0,0.0,25.33333333,0.301574293,-1.529301457,-0.508076014,0.0,0.0,0,0.0,26.08333333,0.0,0.0,0,1.0,0.0,0,0,3970,CTA1Z12ZRAH,stuZ5lp7k7,Skill149,R3C2,1,0,0,0,0,0,0,0.888286674,0.888286674,0,72,1.996039842,-1.82997787,-2.434059502,0,0,0,0,72.0,0,0,0,1,0,0,0,ON TASK,awagner
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,8507,CTA1Z12ZT,stuZ9idg5l,Skill122,XLabel,1,0,0,0,0,0,0,0.988464307,0.988464307,0,5,-0.455009572,-0.679561423,-1.321173783,0,0,0,0,5.5,0,0,0,0,0,0,0,ON TASK,awagner
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,8508,CTA1Z12ZT,stuZ9idg5l,Skill119,YLabel,1,0,0,0,0,0,0,0.988464307,0.988464307,0,1,-0.839283362,-0.619970585,-1.294263566,0,0,0,0,2.0,0,0,0,0,0,0,0,ON TASK,awagner
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0.0,0,0,0,0,0,0.0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0,0.166666667,4.902777778,0.0,0.0,0,0.0,0.0,0,0,8509,CTA1Z12ZT,stuZ9idg5l,Skill102,xMax,1,0,0,0,0,0,0,0.998916343,0.998916343,0,5,-0.519393669,-1.493618208,-1.973854357,0,0,0,0,6.333333333,0,0,0,0,0,0,0,ON TASK,awagner
